6,0.95,0.21,-0.23,0.01,0.00,0.00,0.03
10,0.94,0.20,-0.23,0.01,0.00,0.00,0.03
6,0.94,0.20,-0.23,0.01,0.00,0.00,0.03
10,0.94,0.20,-0.23,0.02,0.00,-0.00,0.03
6,0.95,0.20,-0.23,0.01,0.01,-0.00,0.02
6,0.95,0.20,-0.23,0.01,0.01,-0.00,0.02
10,0.95,0.20,-0.23,0.02,0.01,-0.00,0.02
6,0.95,0.20,-0.23,0.01,0.01,-0.00,0.02
7,0.95,0.20,-0.23,0.01,0.01,-0.00,0.02
10,0.95,0.20,-0.23,0.01,0.01,-0.00,0.03
7,0.95,0.20,-0.23,0.01,0.01,-0.00,0.03
10,0.94,0.20,-0.24,0.02,0.01,0.00,0.03
7,0.94,0.20,-0.24,0.02,0.01,0.01,0.03
6,0.94,0.20,-0.24,0.02,0.01,0.01,0.03
10,0.95,0.20,-0.24,0.01,0.01,0.01,0.03
6,0.95,0.20,-0.24,0.01,0.02,0.01,0.04
6,0.95,0.20,-0.24,0.01,0.02,0.01,0.04
10,0.95,0.20,-0.24,0.00,0.02,0.02,0.05
6,0.95,0.20,-0.24,0.00,0.02,0.02,0.06
10,0.95,0.19,-0.24,0.00,0.02,0.02,0.06
6,0.95,0.19,-0.24,-0.00,0.02,0.02,0.06
7,0.95,0.19,-0.24,-0.00,0.02,0.02,0.07
10,0.95,0.19,-0.24,-0.00,0.01,0.02,0.07
7,0.95,0.20,-0.24,-0.01,0.01,0.02,0.07
6,0.95,0.20,-0.24,-0.01,0.01,0.02,0.07
10,0.95,0.20,-0.24,-0.01,0.01,0.01,0.07
6,0.95,0.20,-0.24,-0.01,0.01,0.01,0.07
10,0.95,0.20,-0.24,-0.01,0.01,0.01,0.07
6,0.95,0.20,-0.24,-0.02,0.01,0.01,0.08
6,0.95,0.20,-0.24,-0.02,0.01,0.01,0.08
10,0.95,0.20,-0.24,-0.02,0.01,0.00,0.08
6,0.95,0.20,-0.24,-0.02,0.01,0.00,0.08
10,0.95,0.19,-0.24,-0.01,0.01,0.00,0.07
6,0.95,0.19,-0.24,-0.01,0.00,0.00,0.07
7,0.95,0.19,-0.24,-0.01,0.00,0.00,0.06
10,0.95,0.18,-0.24,-0.02,0.00,-0.00,0.06
7,0.96,0.18,-0.24,-0.03,0.00,-0.00,0.05
6,0.96,0.18,-0.24,-0.03,0.00,-0.00,0.05
10,0.96,0.17,-0.25,-0.04,-0.01,0.00,0.05
6,0.96,0.17,-0.25,-0.04,-0.01,0.00,0.05
10,0.96,0.16,-0.25,-0.05,-0.01,0.01,0.06
6,0.97,0.15,-0.25,-0.07,-0.02,0.02,0.07
6,0.97,0.15,-0.25,-0.07,-0.02,0.02,0.08
10,0.97,0.15,-0.25,-0.09,-0.04,0.03,0.09
6,0.97,0.14,-0.25,-0.12,-0.05,0.04,0.10
7,0.97,0.14,-0.25,-0.12,-0.05,0.04,0.12
11,0.96,0.14,-0.26,-0.15,-0.06,0.05,0.14
6,0.96,0.14,-0.26,-0.15,-0.06,0.05,0.16
10,0.96,0.12,-0.26,-0.18,-0.07,0.06,0.19
6,0.96,0.10,-0.27,-0.21,-0.08,0.08,0.22
6,0.96,0.10,-0.27,-0.21,-0.08,0.08,0.26
10,0.96,0.07,-0.30,-0.28,-0.09,0.11,0.30
6,0.96,0.05,-0.29,-0.33,-0.09,0.14,0.36
7,0.96,0.05,-0.29,-0.33,-0.09,0.14,0.42
