7,0.93,0.33,-0.19,-0.31,0.17,0.23,-0.25
10,0.93,0.34,-0.19,-0.30,0.17,0.22,-0.26
7,0.93,0.34,-0.20,-0.27,0.17,0.22,-0.25
6,0.93,0.34,-0.20,-0.27,0.17,0.22,-0.24
10,0.93,0.34,-0.20,-0.24,0.18,0.21,-0.21
7,0.93,0.34,-0.20,-0.21,0.19,0.19,-0.19
6,0.93,0.34,-0.20,-0.21,0.19,0.19,-0.17
10,0.93,0.33,-0.20,-0.18,0.20,0.18,-0.15
6,0.94,0.32,-0.20,-0.15,0.19,0.17,-0.14
7,0.94,0.32,-0.20,-0.15,0.19,0.17,-0.13
10,0.94,0.31,-0.20,-0.13,0.19,0.16,-0.12
7,0.94,0.31,-0.20,-0.13,0.19,0.16,-0.11
11,0.94,0.31,-0.21,-0.12,0.19,0.15,-0.10
6,0.94,0.31,-0.21,-0.11,0.18,0.13,-0.09
7,0.94,0.31,-0.21,-0.11,0.18,0.13,-0.07
10,0.92,0.31,-0.22,-0.10,0.17,0.12,-0.05
7,0.92,0.31,-0.22,-0.09,0.17,0.11,-0.02
6,0.92,0.31,-0.22,-0.09,0.17,0.11,0.02
10,0.91,0.31,-0.22,-0.08,0.18,0.11,0.03
6,0.91,0.31,-0.23,-0.07,0.19,0.11,0.03
7,0.91,0.31,-0.23,-0.07,0.19,0.11,0.03
10,0.91,0.30,-0.23,-0.07,0.19,0.11,0.02
7,0.91,0.30,-0.23,-0.07,0.19,0.11,0.02
10,0.92,0.30,-0.23,-0.07,0.21,0.11,0.03
7,0.92,0.30,-0.24,-0.06,0.22,0.11,0.03
6,0.92,0.30,-0.24,-0.06,0.22,0.11,0.04
10,0.93,0.29,-0.24,-0.06,0.22,0.11,0.04
6,0.93,0.29,-0.24,-0.06,0.23,0.12,0.03
6,0.93,0.29,-0.24,-0.06,0.23,0.12,0.01
10,0.93,0.29,-0.25,-0.06,0.22,0.11,0.00
6,0.93,0.29,-0.25,-0.06,0.22,0.11,0.00
10,0.93,0.29,-0.25,-0.06,0.21,0.10,-0.00
7,0.93,0.29,-0.25,-0.06,0.21,0.10,-0.01
6,0.93,0.29,-0.25,-0.06,0.21,0.10,-0.02
10,0.93,0.29,-0.26,-0.07,0.20,0.09,-0.02
6,0.94,0.29,-0.26,-0.07,0.19,0.09,-0.01
7,0.94,0.29,-0.26,-0.07,0.19,0.09,0.02
11,0.93,0.29,-0.27,-0.08,0.19,0.09,0.03
6,0.93,0.29,-0.26,-0.08,0.19,0.09,0.04
6,0.93,0.29,-0.26,-0.08,0.19,0.09,0.04
10,0.93,0.29,-0.27,-0.09,0.17,0.09,0.04
1248,0.89,0.33,-0.29,-0.02,0.01,0.00,0.02
7,0.89,0.33,-0.29,-0.02,0.01,0.00,-0.02
11,0.89,0.33,-0.29,-0.02,0.01,0.01,-0.07
6,0.89,0.33,-0.29,-0.02,0.01,0.01,-0.09
10,0.89,0.33,-0.29,-0.02,0.01,0.01,-0.09
6,0.89,0.33,-0.29,-0.02,0.01,0.01,-0.09
7,0.89,0.33,-0.29,-0.02,0.01,0.01,-0.08
10,0.89,0.33,-0.28,-0.02,0.01,0.01,-0.09
7,0.89,0.33,-0.28,-0.02,0.01,0.01,-0.09
11,0.89,0.33,-0.29,-0.02,0.01,0.01,-0.09
6,0.89,0.33,-0.29,-0.01,0.02,0.01,-0.09
6,0.89,0.33,-0.29,-0.01,0.02,0.01,-0.09
10,0.89,0.33,-0.29,-0.01,0.02,0.01,-0.09
7,0.89,0.33,-0.29,-0.01,0.02,0.01,-0.09
6,0.89,0.33,-0.29,-0.01,0.02,0.01,-0.09
10,0.89,0.33,-0.29,-0.02,0.02,0.01,-0.09
6,0.89,0.33,-0.29,-0.02,0.02,0.02,-0.09
7,0.89,0.33,-0.29,-0.02,0.02,0.02,-0.09
11,0.89,0.33,-0.29,-0.01,0.02,0.01,-0.09
6,0.89,0.33,-0.29,-0.01,0.02,0.01,-0.09
