1293754,0.90,0.29,-0.31,-0.24,1.59,2.08
1293774,0.90,0.29,-0.31,-0.37,1.71,2.38
1293794,0.90,0.29,-0.31,-0.49,1.46,2.14
1293814,0.90,0.29,-0.32,-0.92,1.59,2.01
1293834,0.90,0.29,-0.32,-1.46,1.95,1.46
1293854,0.90,0.29,-0.32,-2.08,2.44,1.59
1293874,0.89,0.29,-0.33,-2.50,2.81,2.01
1293894,0.89,0.29,-0.33,-2.32,3.11,2.69
1293914,0.89,0.30,-0.33,-1.46,2.87,3.72
1293934,0.89,0.30,-0.33,-0.98,2.20,3.60
1293954,0.89,0.30,-0.33,-0.67,2.01,2.99
1293974,0.89,0.30,-0.33,-0.43,2.08,2.32
1293994,0.89,0.30,-0.33,-0.49,2.26,2.26
1294014,0.89,0.30,-0.33,-0.49,2.01,2.20
1294034,0.89,0.31,-0.33,-0.06,1.71,2.38
1294054,0.89,0.30,-0.33,-0.06,2.01,2.56
1294074,0.88,0.31,-0.33,0.06,2.44,2.99
1294094,0.86,0.30,-0.32,0.24,4.39,4.46
1294114,0.74,0.27,-0.29,-4.94,9.58,9.46
1294134,0.73,0.27,-0.32,1.89,17.09,25.27
1294154,0.66,0.28,-0.31,3.42,40.59,57.74
1294174,0.79,0.29,-0.34,2.26,63.23,80.57
1294194,0.89,0.36,-0.36,4.15,71.35,93.02
1294214,0.92,0.41,-0.39,5.31,67.38,89.84
1294234,0.98,0.44,-0.44,8.79,58.78,78.67
1294254,0.95,0.46,-0.46,11.60,46.63,57.98
1294274,0.89,0.52,-0.48,9.34,31.01,37.48
1294294,0.80,0.53,-0.49,8.54,19.41,24.90
1294314,0.74,0.53,-0.50,9.03,10.99,17.21
1294334,0.71,0.53,-0.50,6.47,1.83,6.23
1294354,0.71,0.54,-0.50,5.19,-2.01,1.34
1294374,0.72,0.55,-0.49,4.09,-6.59,-4.09
1294394,0.73,0.55,-0.49,2.69,-14.28,-12.82
1294414,0.72,0.55,-0.48,2.20,-18.86,-18.68
1294434,0.72,0.54,-0.47,1.83,-22.40,-23.19
1294454,0.73,0.53,-0.46,1.40,-25.33,-28.20
1294474,0.76,0.51,-0.44,1.28,-26.79,-32.41
1294494,0.78,0.50,-0.43,0.61,-27.65,-36.19
1294514,0.79,0.48,-0.42,0.31,-29.79,-42.54
1294534,0.79,0.42,-0.41,-1.10,-31.31,-41.08
1294554,0.82,0.40,-0.40,-3.17,-30.82,-40.22
1294574,0.81,0.40,-0.38,-7.32,-31.37,-41.08
1294594,0.78,0.52,-0.34,-8.00,-28.44,-40.22
1294614,0.76,0.44,-0.34,-5.80,-22.71,-49.32
1294634,0.80,0.42,-0.33,-2.99,-13.92,-48.40
1294654,0.84,0.35,-0.34,-0.43,-11.35,-43.46
1294674,0.87,0.31,-0.34,0.06,-9.22,-36.62
1294694,0.90,0.29,-0.34,-0.24,-8.91,-28.20
1294714,0.90,0.28,-0.33,-0.49,-9.70,-25.51
1294734,0.89,0.28,-0.32,-0.79,-9.95,-24.11
1294754,0.88,0.28,-0.31,-0.61,-9.46,-20.02
1294774,0.89,0.25,-0.30,-0.37,-8.61,-15.38
1294794,0.91,0.24,-0.30,-0.67,-7.26,-11.17
1294814,0.92,0.23,-0.29,-1.89,-5.37,-7.32
1294834,0.92,0.24,-0.28,-2.20,-5.25,-5.92
1294854,0.92,0.24,-0.28,-2.50,-4.70,-4.70
1294874,0.91,0.24,-0.28,-3.05,-3.72,-3.48
1294894,0.92,0.24,-0.28,-3.30,-2.75,-2.20
1294914,0.93,0.24,-0.27,-3.66,-1.34,-1.77
1294934,0.94,0.25,-0.28,-3.72,-1.34,-2.62
